Nölle Profi Brush Saalbesen 2.0 Qualitätsmischung,https://store.igefa.de/c/besen/sBXeRK4tcQBm7d3SDSuo7M,40 cm,2149880,4251595600595,,,igefa Handelsgesellschaft,https://store.igefa.de/p/noelle-profi-brush-saalbesen-2-0-qualitaetsmischung-40-cm/BFcL7FAyY8A6UKebWWQV9o,https://media.igefa.de/files/images_idealclean/2149880.jpg,Nölle Profi-Brush,"Holzkörper roh
Borstenmaterial Arenga
für glatte Böden & feinen Schmutz
4-Loch-Stecksystem zur problemlosen Montage
keine Schrauben & Nägel zur Befestigen der Stiele nötig"
Kolibri Comface Mundschutz 3-lagig Typ IIR,https://store.igefa.de/c/einweg-mund-und-staubschutz/awS54urbkmJYSKwvzLccEf,EN 14683 Typ IIR (40),2201870,4024009029110,,,igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-comface-mundschutz-3-lagig-typ-iir-en-14683-typ-iir-40/GyXZ2QS4JRzY9isZWkHU4V,https://media.igefa.de/files/images_idealclean/2201870.jpg,IGEFA,"biegsamer Nasenbügel
mit elastischen Bändern
100% glasfaserfreier Vliesstoff
Bakterienfilterleistung bei min. 98%"
CLEAN and CLEVER SMART Seifencrème rosé SMA 91-1,https://store.igefa.de/c/handseife-fluessig/8d2gG5bofEDvgtAfYteYA8,SMA91-1 Seifencreme 12x500ml,2117580,4024009026065,,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-seifencr-me-ros-sma-91-1-sma91-1-seifencreme-12x500ml/k9UiS8fZKdKxrhxcZGuqx7,https://media.igefa.de/files/images_idealclean/2117580.jpg,CLEAN and CLEVER SMART,"alkali- & silikonfrei
angenehm dezente Duftnote
mit rückfettenden Eigenschaften
Hautverträglichkeit dermatologisch bestätigt
dem natürlichen pH-Wert der Haut angepasst"
PuraDES TetraMAN B,https://store.igefa.de/c/haut-haendedesinfektion/mWgEtYHVaiN4vEx57LrzU7,TetraMAN B 500ml (12),2145906,1618000070016,,,igefa Handelsgesellschaft,https://store.igefa.de/p/purades-tetraman-b-tetraman-b-500ml-12/U8GiwZbBBasRSVuV49wka5,https://media.igefa.de/files/images_idealclean/2145906.jpg,PRISMAN,"frei von Farb- & Duftstoffen
mit hautverträglichem Rückfetter
Bakterizid, tuberkulozid, levurozid
dermatologisch „sehr gut“ getestet
degrenzt viruzid PLUS (inkl. Adeno, Noro, Rota)"
HydroVital Classic Duschgel++,https://store.igefa.de/c/haut-und-haarreinigung/bGKCzRLY3vJjHyH44uoqVa,HydroVital Classic Duschgel 250 ml Eine erfrischende Reinigung für jeden Tag 250 ml,2092152,4024009008689,,,igefa Handelsgesellschaft,https://store.igefa.de/p/hydrovital-classic-duschgel-hydrovital-classic-duschgel-250-ml-eine-erfrischende-reinigung-fuer-jeden-tag-250-ml/Np2oJkZtF58QNBQnnLd8B5,https://media.igefa.de/files/images_idealclean/2092152.jpg,HydroVital Classic,"mildes Duschgel
reinigt, pflegt & erfrischt
mit pflegendem Aloe Vera Extrakt
für die sanfte & zuverlässige Körperpflege"
Kolibri Comfort PREMIUM men active 3,https://store.igefa.de/c/einlagen/uQB5CuDrt6ePPozBpeZC98,Kolibri comfort PREMIUM men 3,2142803,4024009008160,,,igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-comfort-premium-men-active-3-kolibri-comfort-premium-men-3-anatomische-premium-einlage-fuer-leichte-bis-mittlere-blasenschwaeche-speziell-fuer-aktive-maenner/P4xnukfRjicrRq4SuyneaY,https://media.igefa.de/files/images_idealclean/2142803.jpg,Kolibri,
SC Johnson Stokolan® Classic,https://store.igefa.de/c/hautpflege/TXbLmDY5ssHiaGecAhSgTX,DSS Stokolan Classic 100ml(12),2116449,4016208854846,,,igefa Handelsgesellschaft,https://store.igefa.de/p/sc-johnson-stokolan-classic-dss-stokolan-classic-100ml-12/fEKLhS2eGr9iWfU2pkyM4g,https://media.igefa.de/files/images_idealclean/2116449.jpg,SC Johnson Professional,"silikonfrei
wirkt Haut beruigend
zieht gut in die Haut ein
lässt sich leicht verteilen
für alle Hauttypen geeignet
glatte & geschmeidige Haut bei regelmäßiger Anwendung"
Cilan Kosmetiktuch K20,https://store.igefa.de/c/kosmetiktuecher-spenderboxen/thXhwQ6rxzp5beV4upcWkA,Cilan Kosmetiktuch K20 2lg,2096847,4250066751491,,,igefa Handelsgesellschaft,https://store.igefa.de/p/cilan-kosmetiktuch-k20-cilan-kosmetiktuch-k20-2lg/DSnreBDyrHBWeE4LjaeCRK,https://media.igefa.de/files/images_idealclean/2096847.jpg,Contreda,"2-lagig
Material: 100% Zellstoff
hautfreundlich & reißfest
besonders weich & saugfähig
hochwertiges & umweltgerechtes Material"
Tork Lagenfalz Handtuch++,https://store.igefa.de/c/format-handtuchpapier/iNrwVsx54nLGHCXf9mLMH5,hochweiß,2173244,7322541177267,,,igefa Handelsgesellschaft,https://store.igefa.de/p/tork-lagenfalz-handtuch-hochweiss/3DLNXiZiw9keAmNKy47Nn3,https://media.igefa.de/files/images_idealclean/2173244.jpg,Tork,
Aquarius AQUARIUS* Handtuchspender Standard,https://store.igefa.de/c/format-handtuchpapier/iNrwVsx54nLGHCXf9mLMH5,mit Sichtfenster a. Kunststoff,2089308,5027375045455,,,igefa Handelsgesellschaft,https://store.igefa.de/p/aquarius-aquarius-handtuchspender-standard-mit-sichtfenster-a-kunststoff/ddhuvrE2wsf9UXLCqNWqXX,https://media.igefa.de/files/images_idealclean/2089308.jpg,Kimberly-Clark,"aus Kunststoff
leicht zu entriegeln & zu befüllen
fördert Hygiene & Kostenbegrenzung
reinigungsfreundliche Hochglanzoberfläche
kombinierbar mit WypAll®Wischtuch 7441,7442,7443,7444"
Holzschiffchen A-Rosa - naturesse®,https://store.igefa.de/c/einweg-geschirr-nachhaltig-sonstige/Y75HSDeWKzhacLahkvovdP,Boot Pinienholz,5007161,7611243345006,,,igefa Handelsgesellschaft,https://store.igefa.de/p/holzschiffchen-a-rosa-naturesse-boot-pinienholz-fingerfood-geschirr-aus-nachwachsendem-rohstoff/nZNRh4qMSHLitZkvtYd54o,https://media.igefa.de/files/images_idealclean/5007161.jpg,Diverse Hersteller,
Bambus-Fingerfood-Spieße Flag,https://store.igefa.de/c/einweg-spiesse-nachhaltig/vBXaF79QRBp6f6nXmAXzUn,9 cm,5005906,4015544389524,,,igefa Handelsgesellschaft,https://store.igefa.de/p/bambus-fingerfood-spiesse-flag-9-cm/WyNerM4NmjPVUXfwQ5U84j,https://media.igefa.de/files/images_idealclean/5005906.jpg,Diverse Hersteller,"äußerst hart & stabil
geschmacksneutral
sehr umweltfreundlich
aus nachwachsendem Rohstoff"
Hosti Pappteller eckig,https://store.igefa.de/c/einweg-geschirr-papier/a7Vt6BmYvDZUGQdwnfTPtc,24 cm x 33 cm,5003180,4002836115459,,,igefa Handelsgesellschaft,https://store.igefa.de/p/hosti-pappteller-eckig-24-cm-x-33-cm-recycling-karton-mit-decklage-aus-zellstoff/zURj29omMdqtaTg8wN4o4n,https://media.igefa.de/files/images_idealclean/5003180.jpg,Diverse Hersteller,
Pro-Pac Verpackungsbecher und Deckel eckig im Kombipack - Saladboxx,https://store.igefa.de/c/verpackungsbecher-kunststoff-eckig-mit-deckel/6xM35LqsBFmrfjP7ku95ih,250 l 51 mm,2165922,4031222505512,,,igefa Handelsgesellschaft,https://store.igefa.de/p/pro-pac-verpackungsbecher-und-deckel-eckig-im-kombipack-saladboxx-250-l-51-mm/jcBzV6E6PHtvfEBXzSbBGg,https://media.igefa.de/files/images_idealclean/2165922.jpg,Diverse Hersteller,
EPS-Menüklappschale champagner,https://store.igefa.de/c/einweg-menueschale-kunststoff/Z7Hu5c6okizwqgxeLNb94G,Ungeteilt,5004995,4019336116299,,,igefa Handelsgesellschaft,https://store.igefa.de/p/eps-menueklappschale-champagner-ungeteilt-menuebox-aus-schaum-polystyrol-mit-anhaengendem-deckel/SgfZzZMuTMntiLJYdJEZDF,https://media.igefa.de/files/images_idealclean/5004995.jpg,Diverse Hersteller,
Huhtamaki Trinkbecher PS gerillt,https://store.igefa.de/c/kaltgetraenkebecher-tiefgezogen-ps/HNf8w64Mm4NTMSGJ8nJfBd,gerillt leichte Ausführung,5005445,4011678000120,,,igefa Handelsgesellschaft,https://store.igefa.de/p/huhtamaki-trinkbecher-ps-gerillt-gerillt-leichte-ausfuehrung/tvPtm5ySGojUsRiBLaNZQo,https://media.igefa.de/files/images_idealclean/5005445.jpg,Huhtamaki,
Tork Serviette 33 x 33 cm - Uni,https://store.igefa.de/c/einweg-serviette-classic/v9KL2hxVBt5CLJMaf8UsvF,Weiß EU Ecolabel (Euro-Blume),5006321,5010195400139,,,igefa Handelsgesellschaft,https://store.igefa.de/p/tork-serviette-33-x-33-cm-uni-weiss-eu-ecolabel-euro-blume/Ek49N3jQ3iu6LHCpFszYKP,https://media.igefa.de/files/images_idealclean/5006321.jpg,Tork,
CLEAN and CLEVER SMART Alkoholreiniger SMA 2,https://store.igefa.de/c/alkohol-glanzreiniger/6Ngkjm5Y8LvwiR3ETKFFM4,SMA2 Alkoholreiniger 1l (12),2133774,4024009030604,,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-alkoholreiniger-sma-2-sma2-alkoholreiniger-1l-12/Zzwn4PjouZ5AphLSCJwiz3,https://media.igefa.de/files/images_idealclean/2133774.jpg,CLEAN and CLEVER SMART,
Kiehl Torvan-Konzentrat,https://store.igefa.de/c/allzweckreiniger/qhspLARfXqGxtiMfPCuHhf,Kiehl Torvan Konz. 1l (6),1749301,4031255000152,,,igefa Handelsgesellschaft,https://store.igefa.de/p/kiehl-torvan-konzentrat-kiehl-torvan-konz-1l-6/MRpEwMmVBwEYU5tYx7xQVi,https://media.igefa.de/files/images_idealclean/1749301.jpg,Kiehl,
bluematic VC 36B ECO,https://store.igefa.de/c/buerstsauger-mit-kabel/kiy5tKhxZZiTzj7P54b8fJ,Bluematic VC 36B ECO 875W,2142902,4024009014147,,,igefa Handelsgesellschaft,https://store.igefa.de/p/bluematic-vc-36b-eco-bluematic-vc-36b-eco-875w/fEwASXPQU2Bq2cqCpqaCk8,https://media.igefa.de/files/images_idealclean/2142902.jpg,bluematic,"mit elektronischer Sicherung
vier Laufrollen erleichtern die Arbeit
werkzeugfreies Wechseln der Bürstenstreifen per Knopfdruck
mit praktischer Reinigungsklappe zur leichten Beseitigung eventueller Verstopfungen
4-fach manuell höhenverstellbar zur optimalen Anpassung an die Florhöhe (Drehregler)"
PuraDES TetraCID RTU,https://store.igefa.de/c/desinfektionsreiniger/jH37vJChRmx6vXNyfPdJ7V,aldehyd-/QAV-frei,2173571,04064797003794,,,igefa Handelsgesellschaft,https://store.igefa.de/p/purades-tetracid-rtu-aldehyd-qav-frei/AW6dzQbpL8QAj76TWAxfob,https://media.igefa.de/files/images_idealclean/2173571.jpg,PRISMAN,"DVG-Gutachten
VAH- / IHO-gelistet
aldehydfrei, QAV-frei
ohne Duft- & Farbstoffe
hinterlässt keine klebrigen Rückstände"
CLEAN and CLEVER PROFESSIONAL Schnelldesinfektion PRO 139,https://store.igefa.de/c/kuechendesinfektion/fccxvULVJENc8PSA7fffMf,"gebrauchsfertig, alkoholisch",2110813,4024009019456,,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-schnelldesinfektion-pro-139-gebrauchsfertig-alkoholisch/btMbkoUiPbiehrzZRDxyb6,https://media.igefa.de/files/images_idealclean/2110813.jpg,CLEAN and CLEVER PROFESSIONAL,"aldehyd- & phenolfrei
verdunstet rückstandsfrei
schnelle Wirksamkeit (30 Sekunden)
gute Verträglichkeit auf alkoholbeständigen Materialien"
Dr. Schnell Glasfee,https://store.igefa.de/c/glasreiniger/k69tBzCuFHZBCV7b79ADdF,Glasfee 10l,1501501,4008439301473,,,igefa Handelsgesellschaft,https://store.igefa.de/p/dr-schnell-glasfee-glasfee-10l/enZ2qgq5zEVBBXXWucZwGP,https://media.igefa.de/files/images_idealclean/1501501.jpg,Dr. Schnell,"hautschonend
Oberflächen-Schnellreiniger
gibt strahlende Sauberkeit & Glanz
reinigt streifenfrei, schnell & schonend
kein zweites Nachwischen erforderlich
entfernt restlos Schmutzablagerungen & fettige Niederschläge"
CLEAN and CLEVER PROFESSIONAL Spezialreiniger für Milchaufschäumer PRO 136,https://store.igefa.de/c/kaffeemaschinenreiniger/w6Y8fiAEsnReCFLvE7izjG,für Milchaufschäumer,2108100,4024009018602,,,igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-spezialreiniger-fuer-milchaufschaeumer-pro-136-fuer-milchaufschaeumer/qaXRdcxhmq2eSHAsBGCuR7,https://media.igefa.de/files/images_idealclean/2108100.jpg,CLEAN and CLEVER PROFESSIONAL,
Nölle Profi Brush Saalbesen 2.0 Qualitätsmischung,https://store.igefa.de/c/besen/sBXeRK4tcQBm7d3SDSuo7M,40 cm,2149880,4251595600595,,,igefa Handelsgesellschaft,https://store.igefa.de/p/noelle-profi-brush-saalbesen-2-0-qualitaetsmischung-40-cm/BFcL7FAyY8A6UKebWWQV9o,https://media.igefa.de/files/images_idealclean/2149880.jpg,Nölle Profi-Brush,"Holzkörper roh
Borstenmaterial Arenga
für glatte Böden & feinen Schmutz
4-Loch-Stecksystem zur problemlosen Montage
keine Schrauben & Nägel zur Befestigen der Stiele nötig"
